Index,Image,Score
0,game_0830.jpg,1.2
1,game_1109.jpg,3.2
2,movie_0298.jpg,0.9
3,movie_1625.jpg,2.6
4,movie_1682.jpg,0.9
5,movie_2412.jpg,3.1
6,game_0862.jpg,2.4
7,game_2862.jpg,0.4
8,game_1795.jpg,2.1
9,game_2897.jpg,3.3
10,movie_1435.jpg,3.9
11,game_0838.jpg,2.9
12,game_2193.jpg,1.8
13,movie_0018.jpg,2.7
14,movie_1824.jpg,3.5
15,game_0037.jpg,2.6
16,game_1164.jpg,1.1
17,movie_0457.jpg,2.4
18,movie_0576.jpg,3.2
19,movie_1462.jpg,3.6
20,game_1724.jpg,1.2
21,game_1009.jpg,2.7
22,game_1407.jpg,2.4
23,game_2142.jpg,1.9
24,movie_2715.jpg,4.1
25,game_1550.jpg,2.3
26,game_1323.jpg,3.2
27,game_1887.jpg,3.4
28,game_1599.jpg,3.6
29,movie_2906.jpg,1.8
30,game_1770.jpg,3.9
31,movie_0023.jpg,3.0
32,game_1867.jpg,2.1
33,movie_1843.jpg,1.6
34,game_0600.jpg,3.3
35,game_2012.jpg,2.3
36,movie_0755.jpg,1.8
37,movie_0666.jpg,1.9
38,game_0122.jpg,1.7
39,movie_0497.jpg,1.8
40,game_0798.jpg,1.0
41,game_0437.jpg,0.7
42,game_2732.jpg,3.3
43,movie_1730.jpg,3.4
44,game_1253.jpg,3.3
45,game_0499.jpg,1.7
46,movie_0301.jpg,2.6
47,game_2733.jpg,4.6
48,movie_2928.jpg,3.9
49,movie_0812.jpg,4.1
50,movie_0341.jpg,3.5
51,game_1920.jpg,3.5
52,movie_0848.jpg,3.6
53,movie_2739.jpg,4.1
54,game_0947.jpg,1.9
55,game_2528.jpg,2.6
56,movie_1981.jpg,2.2
57,game_2335.jpg,1.6
58,movie_1711.jpg,2.9
59,game_1810.jpg,1.7
60,movie_0148.jpg,0.8
61,game_2538.jpg,0.9
62,movie_1830.jpg,0.6
63,game_1991.jpg,1.2
64,game_2649.jpg,2.7
65,movie_0869.jpg,1.7
66,movie_2057.jpg,2.2
67,game_0269.jpg,1.2
68,movie_1331.jpg,2.8
69,movie_2744.jpg,4.2
70,movie_2347.jpg,4.2
71,game_2047.jpg,2.2
72,game_2864.jpg,0.7
73,movie_1430.jpg,1.2
74,movie_0303.jpg,3.6
75,game_2441.jpg,0.4
76,movie_0266.jpg,2.7
77,movie_2029.jpg,3.6
78,movie_1896.jpg,2.3
79,movie_0269.jpg,2.0
80,game_1611.jpg,2.2
81,game_0152.jpg,1.5
82,game_0686.jpg,1.4
83,movie_2191.jpg,2.6
84,game_1149.jpg,2.3
85,movie_0313.jpg,3.6
86,movie_0712.jpg,3.3
87,movie_2019.jpg,2.9
88,movie_2360.jpg,3.2
89,game_2008.jpg,3.3
90,game_1434.jpg,2.8
91,game_2902.jpg,2.6
92,game_2411.jpg,1.4
93,movie_2450.jpg,0.8
94,movie_2822.jpg,4.1
95,game_2620.jpg,3.7
96,game_2802.jpg,3.2
97,movie_0119.jpg,3.2
98,game_2389.jpg,1.8
99,game_0539.jpg,1.4
100,movie_2330.jpg,1.3
101,movie_0930.jpg,4.4
102,movie_0178.jpg,1.7
103,movie_0871.jpg,1.8
104,game_1860.jpg,1.9
